,Pixel size ,6.45,Actual pixel size ,0.3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bin size ,2,Pixel area,0.10400625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Magnification,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_ReducedNoise,Intensity_IntegratedIntensityEdge_ReducedNoise2,Intensity_IntegratedIntensity_ReducedNoise,Intensity_IntegratedIntensity_ReducedNoise3,Intensity_LowerQuartileIntensity_ReducedNoise,Intensity_LowerQuartileIntensity_ReducedNoise4,Intensity_MADIntensity_ReducedNoise,Intensity_MADIntensity_ReducedNoise5,Intensity_MassDisplacement_ReducedNoise,Intensity_MassDisplacement_ReducedNoise6,Intensity_MaxIntensityEdge_ReducedNoise,Intensity_MaxIntensityEdge_ReducedNoise7,Intensity_MaxIntensity_ReducedNoise,Intensity_MaxIntensity_ReducedNoise8,Intensity_MeanIntensityEdge_ReducedNoise,Intensity_MeanIntensityEdge_ReducedNoise9,Intensity_MeanIntensity_ReducedNoise,Intensity_MeanIntensity_ReducedNoise10,Intensity_MedianIntensity_ReducedNoise,Intensity_MedianIntensity_ReducedNoise11,Intensity_MinIntensityEdge_ReducedNoise,Intensity_MinIntensityEdge_ReducedNoise12,Intensity_MinIntensity_ReducedNoise,Intensity_MinIntensity_ReducedNoise13,Intensity_StdIntensityEdge_ReducedNoise,Intensity_StdIntensityEdge_ReducedNoise14,Intensity_StdIntensity_ReducedNoise,Intensity_StdIntensity_ReducedNoise15,Intensity_UpperQuartileIntensity_ReducedNoise,Intensity_UpperQuartileIntensity_ReducedNoise16,Location_CenterMassIntensity_X_ReducedNoise,Location_CenterMassIntensity_X_ReducedNoise17,Location_CenterMassIntensity_Y_ReducedNoise,Location_CenterMassIntensity_Y_ReducedNoise18,Location_CenterMassIntensity_Z_ReducedNoise,Location_CenterMassIntensity_Z_ReducedNoise19,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_ReducedNoise,Location_MaxIntensity_X_ReducedNoise20,Location_MaxIntensity_Y_ReducedNoise,Location_MaxIntensity_Y_ReducedNoise21,Location_MaxIntensity_Z_ReducedNoise,Location_MaxIntensity_Z_ReducedNoise22,Number_Object_Number
3,4,11034.000,15840.000,781.000,649.000,685.000,484.000,737.4360159506979,567.4246873300707,11034.000,4.786215868080035e-11,5665239.327261191,-25308431.752,0.000,-2379680.171,-1796986.195,-2417365809.587,18398529.915171284,70733132.81513704,6577019653.082876,43881732150.517624,1.388122226350373,11478.000,0.850,118.52816178701072,1.000,0.697,0.720,0.19765039884492072,0.012466436141288886,0.000,3.26937616340614e-05,2.8290018840267336e-09,2.02472849627184e-06,2.141527869828519e-09,1706.427931876794,474.4465689780615,513.4347768045307,215.6679509466174,215.6679509466174,1667.439724050325,165.23573133565483,165.33904560024533,43.86342439892262,16.45034336609553,15.132745950421556,94.47341368015374,87.127,nan,nan,0.047,-0.002,nan,-0.020,0.000,-0.002,0.15111833641927902,0.006,0.005,0.000,-0.004,-0.006,0.000,0.000,-10.247,438.71782079359116,0.9613173026659697,11034.000,578579.000,36003617.000,2456702963.000,920508.000,45888092.000,2752231610.000,182620583108.000,95191622.000,4665154394.000,273216888580.000,17686819654814.000,0.5139161260053329,0.051,0.17583995297014143,0.089,0.038,0.011745104607713438,0.013789482460710418,0.036,0.037,0.005,0.012364279814696061,0.004,0.005,0.010570959642848259,0.014443241024010242,0.016654931630113504,0.017307522212243336,0.010387101151090998,0.001,0.001,0.005,0.007,0.008,0.001,0.009,0.008,0.008,0.007,0.005,0.001,16.654,16.654,789.4902635701001,789.4902635701001,0.055103398859500885,0.055103398859500885,0.011651590466499329,0.011651590466499329,4.918828985570249,4.918828985570249,0.050,0.050,0.12174072861671448,0.12174072861671448,0.044,0.044,0.072,0.072,0.063,0.063,0.035,0.035,0.035,0.035,0.003,0.003,0.021873306829558004,0.021873306829558004,0.087,0.087,738.9599207037355,738.9599207037355,562.748,562.748,0.000,0.000,737.4360159506979,567.4246873300707,0.000,743.000,743.000,559.000,559.000,0.000,0.000,4.000
2,36,6816.000,10440.000,531.000,629.000,411.000,542.000,477.4160798122066,584.2668720657277,6816.000,0.000,5193193.997652584,-17578810.525,0.000,1283109.1508215973,2032917.0514289753,1884261344.3542488,3010669.5597124435,9224379.213807372,1743511503.0263748,9133081689.432596,1.287576989449755,7047.000,0.763,93.15793437445288,1.000,0.6528735632183909,0.777,0.17658721826002965,0.005,0.000,6.71436257845116e-06,0.000,0.000,0.000,848.9344788469856,354.6840008133763,761.912,-188.250,-188.250,441.70621474654394,116.54592082759383,121.0495766204905,37.16180835212409,14.295962179395667,12.806248474865697,74.12789712883647,75.332,nan,nan,0.11178290271622918,-0.005,nan,0.027618776699932027,0.001,0.006,0.065,0.002,0.006,0.000,0.001,0.004,0.000,0.001,65.19029552437743,332.0904037956216,0.9672200936568752,6816.000,452692.000,35259222.000,3014023666.000,288091.000,20416984.000,1662768102.000,146662420792.000,15187375.000,1126376310.000,93818976708.000,8374027428918.000,0.592,0.10093814060596859,0.16869443881664153,0.067,0.044,0.021,0.015,0.024,0.020,0.025046087762928104,0.005,0.003,0.004,0.004,0.012185345910646789,0.008,0.018,0.015,0.010,0.003,0.004,0.007,0.003,0.007,0.003,0.006,0.004,0.004,0.007,0.002,30.883714765310287,30.883714765310287,1453.4131032153964,1453.4131032153964,0.18712134659290314,0.18712134659290314,0.014,0.014,0.8661260280256081,0.8661260280256081,0.22324274480342865,0.22324274480342865,0.24998855590820312,0.24998855590820312,0.11149355510942342,0.11149355510942342,0.21323549049521662,0.21323549049521662,0.2356879711151123,0.2356879711151123,0.086,0.086,0.086,0.086,0.024260024787216315,0.024260024787216315,0.045719554640478305,0.045719554640478305,0.24970325827598572,0.24970325827598572,478.2591578000813,478.2591578000813,584.0683933444891,584.0683933444891,0.000,0.000,477.4160798122066,584.2668720657277,0.000,502.000,502.000,597.000,597.000,0.000,0.000,36.000
2,35,5479.000,7956.000,280.000,602.000,178.000,524.000,227.92571637160066,561.271,5479.000,0.000,3777204.766563242,7633630.671652225,0.000,-918325.689,6226354.510733191,-1013664898.156,1831210.5132323408,-4728758.591,1049952422.7759895,-4412208071.317,1.8872940491421117,5803.000,0.804,83.52292778395616,1.000,0.6886626445449975,0.530,0.18682610644867048,0.008,0.000,1.1542470907569492e-05,0.000,0.000,1.4836151831860922e-10,756.0017251692636,267.6185120630016,689.3967451292647,167.6082658900942,167.6082658900942,334.22349210300064,109.98194216646758,104.17773274553444,29.410882339705484,10.294057268327233,9.055385138137417,63.37661766588989,65.43619940833992,nan,nan,0.12582528657223305,0.003,nan,-0.031,0.003,-0.006,0.061000819876437434,-0.002,0.006,0.000,0.000,-0.004,0.000,-0.001,-68.328,360.4751801064719,0.9441668102705497,5479.000,273543.000,17434035.000,1255199625.000,204208.000,9276905.000,564314745.000,39834496811.000,9442254.000,398228639.000,22989259931.000,1571079231353.000,0.6427789058881376,0.047,0.151,0.11267407220772249,0.032,0.002,0.011276858248544802,0.020600887217642763,0.021681269356138677,0.006,0.009,0.006,0.001,0.017733874699052472,0.016869109545641376,0.002,0.016,0.014041308013220972,0.008,0.004,0.002,0.001,0.010660961287327698,0.013475550175204421,0.001,0.003,0.004,0.004,0.002,0.001,38.23874316364527,38.23874316364527,1132.136788830161,1132.136788830161,0.17204013839364052,0.17204013839364052,0.020,0.020,0.6184337611310101,0.6184337611310101,0.24998855590820312,0.24998855590820312,0.24998855590820312,0.24998855590820312,0.1274624772121509,0.1274624772121509,0.20663201110242035,0.20663201110242035,0.23016111552715302,0.23016111552715302,0.084,0.084,0.084,0.084,0.046,0.046,0.049,0.049,0.24642596766352654,0.24642596766352654,228.07648307478667,228.07648307478667,561.871,561.871,0.000,0.000,227.92571637160066,561.271,0.000,218.000,218.000,568.000,568.000,0.000,0.000,35.000
2,1,4990.000,7957.000,203.000,144.000,130.000,35.000,162.8434869739479,85.84228456913827,4990.000,0.000,1486054.7633266535,6251654.915293831,5.3375970310298726e-11,-1264701.176,-7604107.370,-810601476.174,4107438.877955911,1884943.333139717,1133211631.824662,6030299425.953285,1.4672162299702358,5506.000,0.888,79.70862769003404,1.000,0.627,0.682,0.22463739668846971,0.021,0.001,9.673900513881182e-05,2.191338056622449e-09,0.000,0.000,925.4739857603859,195.46662371507819,297.8065657969246,253.44712940911876,253.44712940911876,823.1340436785395,121.68641572569295,112.94689017409908,26.173,10.425748565087064,9.848857801796104,56.65779385930596,55.923751478609255,nan,nan,0.060,0.004,nan,-0.051,-0.004,-0.007,0.165,0.001,0.009,0.001,0.013003007613977172,-0.014,-0.001,-0.002,-21.988,303.32085117392114,0.906,4990.000,163889.000,6868741.000,329459501.000,253703.000,7067790.000,258543984.000,11097956898.000,17006279.000,431829852.000,14222364822.000,546163340964.000,0.49803757374213864,0.050,0.138,0.10951288589649226,0.050,0.010604231772034468,0.003,0.045,0.037,0.021109568357591375,0.006,0.003,0.000,0.010,0.007,0.012109690713533723,0.002,0.010,0.006,0.001,0.000,0.007,0.008,0.008,0.004,0.008,0.009,0.010196732574491819,0.005,0.001,27.304238371551037,27.304238371551037,1027.8355477526784,1027.8355477526784,0.17181624472141266,0.17181624472141266,0.017,0.017,2.0300186974113417,2.0300186974113417,0.13393081724643707,0.13393081724643707,0.24998855590820312,0.24998855590820312,0.10542176977432832,0.10542176977432832,0.20597906768590749,0.20597906768590749,0.23154179751873016,0.23154179751873016,0.076,0.076,0.076,0.076,0.013208601475713457,0.013208601475713457,0.050,0.050,0.2449807971715927,0.2449807971715927,163.6582376694701,163.6582376694701,83.98294134746409,83.98294134746409,0.000,0.000,162.8434869739479,85.84228456913827,0.000,177.000,177.000,58.000,58.000,0.000,0.000,1.000
2,43,4738.000,6290.000,680.000,739.000,595.000,665.000,635.6728577458844,701.7026171380329,4738.000,0.000,2092552.9295061196,1911303.3308292571,3.7836400679225335e-11,233500.05656395064,-282299.357,175614571.962,1557095.9875474887,-1390110.202,456557973.18415797,-740823186.909,1.1159411599267202,4808.000,0.571,77.66987165532849,1.000,0.7532591414944356,0.896,0.16257770033030094,0.001,1.5686655010276733e-05,1.9663877874653962e-07,0.000,0.000,0.000,460.1249457098787,310.1681984550871,441.6532143322329,-49.282,-49.282,328.63992983273295,85.802,85.000,34.438350715445125,12.85229508442352,11.40175425099138,68.42368011149357,70.44637091633176,nan,nan,0.093,0.001,nan,0.010401521649323257,0.000,0.002,0.069,-0.001,0.004,0.000,0.000,0.002,0.000,0.000,69.45330428297741,257.76450198781714,0.9854409317803661,4738.000,192708.000,9930538.000,576034878.000,173897.000,7306388.000,383188664.000,22441980764.000,7939571.000,338675058.000,17670156950.000,1024229600742.000,0.8343926570028324,0.055154721359376574,0.11604791819008323,0.065,0.013775708996869772,0.004,0.053,0.019,0.008,0.014915136470426549,0.014351503746688936,0.007,0.013,0.009,0.011077130191988204,0.003,0.016,0.008,0.003,0.002,0.002,0.009,0.006,0.004,0.001,0.003,0.005,0.007,0.003,0.000,24.235409945249557,24.235409945249557,1016.3430771529675,1016.3430771529675,0.19262492656707764,0.19262492656707764,0.014731928706169128,0.014731928706169128,0.3395183565642337,0.3395183565642337,0.13975587487220764,0.13975587487220764,0.24998855590820312,0.24998855590820312,0.11117160525343833,0.11117160525343833,0.21450888078365712,0.21450888078365712,0.235,0.235,0.089,0.089,0.089,0.089,0.009,0.009,0.044,0.044,0.2487708032131195,0.2487708032131195,635.8021736311919,635.8021736311919,701.3886902098295,701.3886902098295,0.000,0.000,635.6728577458844,701.7026171380329,0.000,618.000,618.000,698.000,698.000,0.000,0.000,43.000
2,27,3844.000,5336.000,1084.000,562.000,1026.000,470.000,1056.8335067637877,518.9409469302809,3844.000,3.979039320256561e-13,729165.4443288239,-1630836.916,7.599965101690032e-11,-257939.794,3000713.288169957,-103297638.629,2120173.594953175,2446278.522,299460312.13650036,168072193.59507546,1.3204013775358965,4051.000,0.828,69.95950835992178,1.000,0.7203898050974513,0.757,0.19283122956069754,0.010080765594800917,0.001,7.110123472893291e-05,1.4070392808322822e-08,7.065269574290288e-06,0.000,563.5962197083196,177.64702672300166,189.68924150073465,67.102,67.102,551.5540049305866,94.96072617315599,92.07062506576133,28.442925306655784,10.173674195497993,9.219544457292887,56.60477011701399,53.313717067636794,nan,nan,0.049346837018921605,-0.002,nan,-0.017,0.003,-0.002,0.14348439254177592,0.003,0.005,4.772589064652138e-05,-0.012,-0.005,0.000,0.000,-10.174,252.55129855222071,0.9489015058010368,3844.000,118524.000,4383676.000,178498722.000,188129.000,5542737.000,201635591.000,8174492319.000,11327385.000,326461645.000,11702596303.000,469586983231.000,0.5773661448580825,0.044403763114676705,0.16664919007485168,0.10748069658915264,0.013429024486012292,0.013,0.006,0.033674934688806606,0.029,0.009,0.025527758876024813,0.008,0.003,0.017,0.007,0.010035789543822903,0.006,0.012810661297770934,0.009,0.004,0.010340135347180637,0.007,0.010496975652173559,0.008,0.004,0.003,0.004,0.007,0.002,0.002,27.156683549284935,27.156683549284935,770.788,770.788,0.17068663239479065,0.17068663239479065,0.025333330035209656,0.025333330035209656,0.9655310010962418,0.9655310010962418,0.18877504765987396,0.18877504765987396,0.24996539950370789,0.24996539950370789,0.12400312122961157,0.12400312122961157,0.20051728401616076,0.20051728401616076,0.21409675478935242,0.21409675478935242,0.081,0.081,0.081,0.081,0.020696616776061567,0.020696616776061567,0.040,0.040,0.2345067262649536,0.2345067262649536,1057.1090808683948,1057.1090808683948,518.016,518.016,0.000,0.000,1056.8335067637877,518.9409469302809,0.000,1062.000,1062.000,487.000,487.000,0.000,0.000,27.000
3,6,3783.000,4592.000,816.000,796.000,734.000,740.000,772.4731694422416,767.4816283372984,3783.000,0.000,1690517.0266983865,2378016.242246837,0.000,-37080.115,537705.5233177519,-5744901.934,778508.4731694428,-1233359.971,256282604.65245518,-666044537.489,1.1684330339022164,3841.000,0.735,69.402,1.000,0.8238240418118467,0.856,0.17252534030553715,0.004,5.145382680427118e-05,1.942457483741981e-06,1.3109272635122994e-11,8.499353615152285e-08,1.4326919248941436e-11,447.26992670312893,205.3934356727182,446.87206626972954,9.802,9.802,205.7912961061176,84.59502838376534,82.97590011563598,28.000,10.955370700295626,10.000,55.000,57.32621538845462,nan,nan,0.11812637226268291,0.003,nan,-0.003,0.001,0.000,0.054,-0.001,0.005,0.000,0.000,-0.001,4.3158604581977576e-05,0.000,-87.676,235.6812408671319,0.9848997656860192,3783.000,145544.000,7290056.000,412928672.000,103963.000,3962706.000,198027136.000,11239612836.000,3635581.000,136600920.000,6692191622.000,373676716578.000,0.6963131551009689,0.032,0.16777876691691754,0.098,0.012,0.012,0.027775387333916282,0.006,0.013932600447409417,0.002,0.012167080068043538,0.010,0.018621291507638252,0.028572723359120884,0.012399344480716756,0.010415940707767525,0.002,0.004,0.004,0.006,0.001,0.003,0.008,0.005,0.009,0.001,0.005,0.006,0.005,0.002,9.442577086389065,9.442577086389065,218.38030599430203,218.38030599430203,0.049773954786360264,0.049773954786360264,0.007,0.007,1.0588807206301873,1.0588807206301873,0.049741774797439575,0.049741774797439575,0.082,0.082,0.045,0.045,0.057726752840153855,0.057726752840153855,0.056,0.056,0.041,0.041,0.041,0.041,0.002,0.002,0.010,0.010,0.064,0.064,773.495,773.495,767.7610918491404,767.7610918491404,0.000,0.000,772.4731694422416,767.4816283372984,0.000,785.000,785.000,770.000,770.000,0.000,0.000,6.000
